policyholder_id,full_name,gender,date_of_birth,region,email,phone,customer_since,credit_score
PH100000,William Jennings,Female,1984-11-13,North East,bmorgan@example.org,0306 999 0810,2017-05-02,681
PH100001,Lesley Wilson-Newman,Male,1957-10-22,South West,william50@example.com,+44(0)131 4960092,2020-02-05,593
PH100002,Abdul Hopkins,Female,1998-09-13,Northern Ireland,kellyhilary@example.net,01632 960 221,2024-06-02,848
PH100003,Mrs Lauren Green,Female,1969-05-12,Northern Ireland,isingh@example.org,+44(0)1414960107,2019-11-08,724
PH100004,Tina Foster,Male,1965-06-04,North East,stevensims@example.org,+4428 9018051,2023-07-21,309
PH100005,Nigel Edwards,Other,1959-04-20,Scotland,elambert@example.net,(0909) 879 0843,2021-05-29,508
PH100006,Abdul Burton-Patterson,Female,1986-11-04,Midlands,smithfrancesca@example.org,+44(0)289018905,2020-08-01,459
PH100007,Sarah Reed-Walsh,Female,1991-11-25,Wales,thompsonadam@example.com,+44(0)808 1570529,2017-07-02,623
PH100008,Miss Olivia Bryan,Male,1968-08-29,South West,murphyronald@example.net,(01632) 960580,2018-12-10,446
PH100009,Dr Lee Green,Male,1993-11-09,Yorkshire,summerskenneth@example.org,0292018660,2021-09-06,831
PH100010,Eleanor Baker,Male,1973-05-15,Scotland,nwright@example.org,(0114) 4960382,2023-02-24,464
PH100011,Wayne Gough,Female,1965-09-25,Midlands,robertsrachel@example.com,+441632 960 412,2021-04-06,587
PH100012,Bernard Wilkinson-Simpson,Female,1978-04-18,London,rduncan@example.net,(0151)4960049,2023-06-28,367
PH100013,Mrs Julia Harris,Female,1957-10-26,North East,dannylee@example.org,01174960862,2018-02-15,800
PH100014,Dylan Young,Male,1961-05-31,Wales,wrightalbert@example.org,+4428 9018 0044,2025-05-23,801
PH100015,Ms Lindsey Rees,Male,1963-12-23,Wales,robertsonelizabeth@example.org,+44(0)1914960515,2017-10-22,736
PH100016,Geoffrey Griffin,Female,1988-07-14,Midlands,andrea27@example.org,+44(0)1514960919,2021-09-01,493
PH100017,Megan Taylor,Male,1990-08-05,North West,brownejulia@example.net,+44(0)151 4960111,2025-04-11,332
PH100018,Miss Carole Woods,Female,1998-09-13,Midlands,bhobbs@example.com,+44(0)116 4960125,2023-05-09,691
PH100019,Ms Sheila Evans,Female,1985-05-23,North East,baileyantony@example.org,+4420 74960020,2025-02-24,536
PH100020,Aaron Harrison,Female,1991-05-31,Scotland,helen72@example.org,+44117 4960571,2021-07-29,844
PH100021,Brandon Hammond,Male,1970-12-06,South East,ruthdixon@example.com,+449098790343,2021-05-14,684
PH100022,Graham Wilkinson,Other,1988-02-11,Scotland,lsmith@example.net,+44(0)1632960240,2022-09-11,596
PH100023,Amanda Hall,Female,1951-07-25,South East,andersondawn@example.net,0141 4960424,2018-09-04,842
PH100024,Frances Holmes-Lloyd,Female,1955-02-22,Scotland,johnsonjosh@example.com,+44(0)1154960956,2022-03-03,740
PH100025,Mrs Pauline Fuller,Male,1967-10-19,South West,pburgess@example.org,+44(0)117 496 0343,2021-06-08,552
PH100026,Dr Marc Phillips,Male,1963-07-29,South East,scottneil@example.net,+44(0)116 496 0447,2023-08-10,310
PH100027,Ruth Hawkins,Male,1977-12-31,North East,sheila83@example.com,+44118 4960175,2024-05-15,351
PH100028,Ms Jill Morley,Male,1987-12-17,North West,martynmanning@example.org,(020) 74960558,2025-02-18,544
PH100029,Bernard Wilkins,Female,1988-08-15,Yorkshire,lydiawatts@example.com,+44151 4960209,2017-09-13,609
PH100030,Catherine Morris,Female,1951-06-29,North East,qnoble@example.org,01414960289,2024-10-28,316
PH100031,Wayne Morris,Other,2006-02-25,North West,berryglen@example.org,(0117)4960654,2024-03-19,369
PH100032,Dr Paula Lloyd,Male,1940-12-02,Midlands,nsmith@example.com,(0117)4960588,2023-09-29,687
PH100033,Kathryn Hughes,Male,1946-10-03,South East,webblee@example.net,+448081570418,2025-02-13,713
PH100034,Mr William Gould,Male,1950-06-11,London,charlesthornton@example.com,(0306)9990343,2022-10-13,316
PH100035,Bethan Oliver,Male,2003-07-09,Northern Ireland,brucedamian@example.net,+44(0)1514960401,2018-08-17,579
PH100036,Lorraine Palmer,Male,1970-03-02,Yorkshire,uwright@example.com,0191 498 0272,2024-02-18,344
PH100037,Arthur Smith,Male,1944-12-01,South East,siansutton@example.org,+44(0)1514960955,2020-06-15,697
PH100038,Christopher Davies,Male,1955-08-23,North West,rosenigel@example.org,020 7946 0690,2023-01-11,758
PH100039,Bethan Young,Female,1946-01-01,South East,ytaylor@example.org,+44(0)121 4960150,2023-01-03,778
PH100040,Dr Danny Cook,Male,1943-02-16,Scotland,jonesdanielle@example.org,(0116) 4960675,2018-10-25,628
PH100041,Marion Steele-Harper,Female,1966-09-11,North West,ndaly@example.com,01314960125,2025-04-12,645
PH100042,Wayne Page-Carter,Female,2007-07-03,Scotland,charlottepatel@example.com,+44121 496 0278,2022-05-24,809
PH100043,Alexander Taylor,Male,1982-04-24,Midlands,juliaevans@example.com,+44(0)1164960079,2019-03-29,636
PH100044,Frances Buckley-Ryan,Female,1975-12-28,South East,albertclarke@example.net,+441514960996,2022-01-03,545
PH100045,Ms Kayleigh Watson,Female,1988-12-13,Yorkshire,whitejamie@example.com,+441632 960673,2024-03-04,715
PH100046,David Anderson,Male,1981-03-10,North East,wfletcher@example.com,(0118) 4960595,2022-01-17,624
PH100047,John Griffiths,Male,2004-11-13,North East,bryangibbs@example.net,(0161) 496 0640,2021-07-16,763
PH100048,Miss Alice Tomlinson,Female,1996-05-03,South East,melissamorgan@example.org,+449098790381,2017-02-24,588
PH100049,Simon Cunningham,Male,1984-02-06,North East,alizoe@example.com,+44(0)1414960649,2017-04-25,777
PH100050,Joshua Stewart,Male,1970-05-30,Yorkshire,mariejones@example.com,+44141 496 0902,2019-09-05,324
PH100051,Philip Clarke,Male,1954-04-11,South East,stephen63@example.org,+44(0)1614960249,2022-03-11,320
PH100052,Henry O'Brien,Female,1985-03-25,North East,tracy93@example.net,+44(0)29 2018839,2021-02-15,354
PH100053,Leon Davison,Female,1995-03-24,Scotland,marionsutton@example.com,0306 999 0225,2025-03-21,605
PH100054,Kayleigh Mitchell,Female,1960-01-04,North East,thomaspauline@example.net,+44(0)306 999 0014,2023-04-27,689
PH100055,Oliver Edwards-Matthews,Female,1942-11-05,Wales,fieldlisa@example.com,+44(0)306 9990257,2016-11-17,418
PH100056,Victor Patel,Male,1981-04-30,Yorkshire,pricecameron@example.org,(0141)4960270,2022-06-14,385
PH100057,Eric O'Neill,Female,1975-08-21,South East,marshalljane@example.org,029 2018 0232,2017-05-20,773
PH100058,Charlotte Haynes,Male,1956-04-25,Scotland,sarahdoyle@example.net,(0121)4960412,2024-11-14,712
PH100059,Martyn Wilson,Male,1952-02-01,North West,brownaimee@example.com,0118 496 0361,2018-09-04,656
PH100060,Sarah Hammond,Female,1943-01-05,North West,geraldinenicholls@example.net,(01632)960328,2021-06-15,568
PH100061,Robert Wilson,Male,1956-10-30,Scotland,stewartgillian@example.org,0909 879 0507,2020-08-02,531
PH100062,Maria Bruce,Female,1940-07-31,Scotland,xgallagher@example.net,(0116) 4960517,2020-11-08,311
PH100063,Olivia King,Female,1951-04-08,South East,acampbell@example.net,+441914960637,2021-05-30,403
PH100064,Kayleigh Daniels,Female,2008-05-05,North East,cooperhollie@example.com,(029) 2018 0673,2025-04-22,793
PH100065,Gerard Jones,Female,1993-07-30,Midlands,doylemathew@example.net,(0306) 999 0162,2018-03-28,486
PH100066,Dr Dennis Bates,Female,1964-07-28,Yorkshire,lydiafrancis@example.com,+44(0)121 496 0265,2024-12-17,687
PH100067,Lydia Williams,Male,1967-06-07,North East,lewisfrances@example.com,0121 496 0696,2020-08-16,687
